"QueueRank","Candidate","CandidateRank","Phase","Window","From","To","Model","Deposit","Enabled","MaximumAccountPositions","MinimumProfitR","BreakoutLookbackBars","RiskMultiplier","PrimaryLockR","LockedProfitCoverage","ExpectedReportName","ProfileSha256","SourceSha256","StopRule","Config","ProfileSnapshot"
"11","pwa_lookback8","4","discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","true","4","1.25","8","0.50","0.75","1.25","pwa_lookback8_discovery_2019_2020_m1","B7CF25DE09A7B594881FB2CAF46795C92F2C5B8277EEF4E852B97C82C90D6C00","F7AAEFF24C4A0FF8066C906A25F99462E1F2488765AD046364B970277AAD5B46","Discovery only: no post-2020 data. Require both disjoint eras positive, continuous net and return/DD improvement versus exact disabled-feature control, PF at least 1.50, DD at most 2%, add-on activity, and adjacent parameter support before any holdout.","configs\011_pwa_lookback8_discovery_2019_2020_m1.ini","profiles\pwa_lookback8.set"
"12","pwa_lookback8","4","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","true","4","1.25","8","0.50","0.75","1.25","pwa_lookback8_continuous_2015_2020_m1","B7CF25DE09A7B594881FB2CAF46795C92F2C5B8277EEF4E852B97C82C90D6C00","F7AAEFF24C4A0FF8066C906A25F99462E1F2488765AD046364B970277AAD5B46","Discovery only: no post-2020 data. Require both disjoint eras positive, continuous net and return/DD improvement versus exact disabled-feature control, PF at least 1.50, DD at most 2%, add-on activity, and adjacent parameter support before any holdout.","configs\012_pwa_lookback8_continuous_2015_2020_m1.ini","profiles\pwa_lookback8.set"
"13","pwa_trigger100","5","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","true","4","1.00","6","0.50","0.75","1.25","pwa_trigger100_older_2015_2018_m1","50CC443F2FE19D53EA38B15D10CD92242D7A291452B603EC4B2B7A67F0C78F42","F7AAEFF24C4A0FF8066C906A25F99462E1F2488765AD046364B970277AAD5B46","Discovery only: no post-2020 data. Require both disjoint eras positive, continuous net and return/DD improvement versus exact disabled-feature control, PF at least 1.50, DD at most 2%, add-on activity, and adjacent parameter support before any holdout.","configs\013_pwa_trigger100_older_2015_2018_m1.ini","profiles\pwa_trigger100.set"
"14","pwa_trigger100","5","discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","true","4","1.00","6","0.50","0.75","1.25","pwa_trigger100_discovery_2019_2020_m1","50CC443F2FE19D53EA38B15D10CD92242D7A291452B603EC4B2B7A67F0C78F42","F7AAEFF24C4A0FF8066C906A25F99462E1F2488765AD046364B970277AAD5B46","Discovery only: no post-2020 data. Require both disjoint eras positive, continuous net and return/DD improvement versus exact disabled-feature control, PF at least 1.50, DD at most 2%, add-on activity, and adjacent parameter support before any holdout.","configs\014_pwa_trigger100_discovery_2019_2020_m1.ini","profiles\pwa_trigger100.set"
"15","pwa_trigger100","5","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","true","4","1.00","6","0.50","0.75","1.25","pwa_trigger100_continuous_2015_2020_m1","50CC443F2FE19D53EA38B15D10CD92242D7A291452B603EC4B2B7A67F0C78F42","F7AAEFF24C4A0FF8066C906A25F99462E1F2488765AD046364B970277AAD5B46","Discovery only: no post-2020 data. Require both disjoint eras positive, continuous net and return/DD improvement versus exact disabled-feature control, PF at least 1.50, DD at most 2%, add-on activity, and adjacent parameter support before any holdout.","configs\015_pwa_trigger100_continuous_2015_2020_m1.ini","profiles\pwa_trigger100.set"
"16","pwa_trigger150","6","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","true","4","1.50","6","0.50","0.75","1.25","pwa_trigger150_older_2015_2018_m1","C157EAA0CF21485D118D1B2D05504D6D96148F31EF10C3A048C48502B1C788A5","F7AAEFF24C4A0FF8066C906A25F99462E1F2488765AD046364B970277AAD5B46","Discovery only: no post-2020 data. Require both disjoint eras positive, continuous net and return/DD improvement versus exact disabled-feature control, PF at least 1.50, DD at most 2%, add-on activity, and adjacent parameter support before any holdout.","configs\016_pwa_trigger150_older_2015_2018_m1.ini","profiles\pwa_trigger150.set"
"17","pwa_trigger150","6","discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","true","4","1.50","6","0.50","0.75","1.25","pwa_trigger150_discovery_2019_2020_m1","C157EAA0CF21485D118D1B2D05504D6D96148F31EF10C3A048C48502B1C788A5","F7AAEFF24C4A0FF8066C906A25F99462E1F2488765AD046364B970277AAD5B46","Discovery only: no post-2020 data. Require both disjoint eras positive, continuous net and return/DD improvement versus exact disabled-feature control, PF at least 1.50, DD at most 2%, add-on activity, and adjacent parameter support before any holdout.","configs\017_pwa_trigger150_discovery_2019_2020_m1.ini","profiles\pwa_trigger150.set"
"18","pwa_trigger150","6","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","true","4","1.50","6","0.50","0.75","1.25","pwa_trigger150_continuous_2015_2020_m1","C157EAA0CF21485D118D1B2D05504D6D96148F31EF10C3A048C48502B1C788A5","F7AAEFF24C4A0FF8066C906A25F99462E1F2488765AD046364B970277AAD5B46","Discovery only: no post-2020 data. Require both disjoint eras positive, continuous net and return/DD improvement versus exact disabled-feature control, PF at least 1.50, DD at most 2%, add-on activity, and adjacent parameter support before any holdout.","configs\018_pwa_trigger150_continuous_2015_2020_m1.ini","profiles\pwa_trigger150.set"
"19","pwa_risk025","7","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","true","4","1.25","6","0.25","0.75","1.25","pwa_risk025_older_2015_2018_m1","9F7E6B4733CF0FA7EC5063385B63788E2F113F64B893034C5C9C40B95DF6B2A4","F7AAEFF24C4A0FF8066C906A25F99462E1F2488765AD046364B970277AAD5B46","Discovery only: no post-2020 data. Require both disjoint eras positive, continuous net and return/DD improvement versus exact disabled-feature control, PF at least 1.50, DD at most 2%, add-on activity, and adjacent parameter support before any holdout.","configs\019_pwa_risk025_older_2015_2018_m1.ini","profiles\pwa_risk025.set"
"20","pwa_risk025","7","discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","true","4","1.25","6","0.25","0.75","1.25","pwa_risk025_discovery_2019_2020_m1","9F7E6B4733CF0FA7EC5063385B63788E2F113F64B893034C5C9C40B95DF6B2A4","F7AAEFF24C4A0FF8066C906A25F99462E1F2488765AD046364B970277AAD5B46","Discovery only: no post-2020 data. Require both disjoint eras positive, continuous net and return/DD improvement versus exact disabled-feature control, PF at least 1.50, DD at most 2%, add-on activity, and adjacent parameter support before any holdout.","configs\020_pwa_risk025_discovery_2019_2020_m1.ini","profiles\pwa_risk025.set"
"21","pwa_risk025","7","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","true","4","1.25","6","0.25","0.75","1.25","pwa_risk025_continuous_2015_2020_m1","9F7E6B4733CF0FA7EC5063385B63788E2F113F64B893034C5C9C40B95DF6B2A4","F7AAEFF24C4A0FF8066C906A25F99462E1F2488765AD046364B970277AAD5B46","Discovery only: no post-2020 data. Require both disjoint eras positive, continuous net and return/DD improvement versus exact disabled-feature control, PF at least 1.50, DD at most 2%, add-on activity, and adjacent parameter support before any holdout.","configs\021_pwa_risk025_continuous_2015_2020_m1.ini","profiles\pwa_risk025.set"
"22","pwa_risk060","8","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","true","4","1.25","6","0.60","0.75","1.25","pwa_risk060_older_2015_2018_m1","C9C564F74D601FBC804172F598536FE3DEA6B92FA9E11AFCDBFA845F34A39321","F7AAEFF24C4A0FF8066C906A25F99462E1F2488765AD046364B970277AAD5B46","Discovery only: no post-2020 data. Require both disjoint eras positive, continuous net and return/DD improvement versus exact disabled-feature control, PF at least 1.50, DD at most 2%, add-on activity, and adjacent parameter support before any holdout.","configs\022_pwa_risk060_older_2015_2018_m1.ini","profiles\pwa_risk060.set"
"23","pwa_risk060","8","discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","true","4","1.25","6","0.60","0.75","1.25","pwa_risk060_discovery_2019_2020_m1","C9C564F74D601FBC804172F598536FE3DEA6B92FA9E11AFCDBFA845F34A39321","F7AAEFF24C4A0FF8066C906A25F99462E1F2488765AD046364B970277AAD5B46","Discovery only: no post-2020 data. Require both disjoint eras positive, continuous net and return/DD improvement versus exact disabled-feature control, PF at least 1.50, DD at most 2%, add-on activity, and adjacent parameter support before any holdout.","configs\023_pwa_risk060_discovery_2019_2020_m1.ini","profiles\pwa_risk060.set"
"24","pwa_risk060","8","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","true","4","1.25","6","0.60","0.75","1.25","pwa_risk060_continuous_2015_2020_m1","C9C564F74D601FBC804172F598536FE3DEA6B92FA9E11AFCDBFA845F34A39321","F7AAEFF24C4A0FF8066C906A25F99462E1F2488765AD046364B970277AAD5B46","Discovery only: no post-2020 data. Require both disjoint eras positive, continuous net and return/DD improvement versus exact disabled-feature control, PF at least 1.50, DD at most 2%, add-on activity, and adjacent parameter support before any holdout.","configs\024_pwa_risk060_continuous_2015_2020_m1.ini","profiles\pwa_risk060.set"
"25","pwa_coverage100","9","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","true","4","1.25","6","0.50","0.75","1.00","pwa_coverage100_older_2015_2018_m1","FB3DAF52BBEB768CD0CB56134DA32835B430ABE0E88BA6341298D0266D109FD9","F7AAEFF24C4A0FF8066C906A25F99462E1F2488765AD046364B970277AAD5B46","Discovery only: no post-2020 data. Require both disjoint eras positive, continuous net and return/DD improvement versus exact disabled-feature control, PF at least 1.50, DD at most 2%, add-on activity, and adjacent parameter support before any holdout.","configs\025_pwa_coverage100_older_2015_2018_m1.ini","profiles\pwa_coverage100.set"
"26","pwa_coverage100","9","discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","true","4","1.25","6","0.50","0.75","1.00","pwa_coverage100_discovery_2019_2020_m1","FB3DAF52BBEB768CD0CB56134DA32835B430ABE0E88BA6341298D0266D109FD9","F7AAEFF24C4A0FF8066C906A25F99462E1F2488765AD046364B970277AAD5B46","Discovery only: no post-2020 data. Require both disjoint eras positive, continuous net and return/DD improvement versus exact disabled-feature control, PF at least 1.50, DD at most 2%, add-on activity, and adjacent parameter support before any holdout.","configs\026_pwa_coverage100_discovery_2019_2020_m1.ini","profiles\pwa_coverage100.set"
"27","pwa_coverage100","9","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","true","4","1.25","6","0.50","0.75","1.00","pwa_coverage100_continuous_2015_2020_m1","FB3DAF52BBEB768CD0CB56134DA32835B430ABE0E88BA6341298D0266D109FD9","F7AAEFF24C4A0FF8066C906A25F99462E1F2488765AD046364B970277AAD5B46","Discovery only: no post-2020 data. Require both disjoint eras positive, continuous net and return/DD improvement versus exact disabled-feature control, PF at least 1.50, DD at most 2%, add-on activity, and adjacent parameter support before any holdout.","configs\027_pwa_coverage100_continuous_2015_2020_m1.ini","profiles\pwa_coverage100.set"
"28","pwa_coverage150","10","discovery_model1","older_2015_2018","2015.01.01","2018.12.31","1","10000","true","4","1.25","6","0.50","0.75","1.50","pwa_coverage150_older_2015_2018_m1","7F7D3AA10B79CE5FFBD2DFDC9DE10CF7EAA10E98765194AB92027C7DC9EF8303","F7AAEFF24C4A0FF8066C906A25F99462E1F2488765AD046364B970277AAD5B46","Discovery only: no post-2020 data. Require both disjoint eras positive, continuous net and return/DD improvement versus exact disabled-feature control, PF at least 1.50, DD at most 2%, add-on activity, and adjacent parameter support before any holdout.","configs\028_pwa_coverage150_older_2015_2018_m1.ini","profiles\pwa_coverage150.set"
"29","pwa_coverage150","10","discovery_model1","discovery_2019_2020","2019.01.01","2020.12.31","1","10000","true","4","1.25","6","0.50","0.75","1.50","pwa_coverage150_discovery_2019_2020_m1","7F7D3AA10B79CE5FFBD2DFDC9DE10CF7EAA10E98765194AB92027C7DC9EF8303","F7AAEFF24C4A0FF8066C906A25F99462E1F2488765AD046364B970277AAD5B46","Discovery only: no post-2020 data. Require both disjoint eras positive, continuous net and return/DD improvement versus exact disabled-feature control, PF at least 1.50, DD at most 2%, add-on activity, and adjacent parameter support before any holdout.","configs\029_pwa_coverage150_discovery_2019_2020_m1.ini","profiles\pwa_coverage150.set"
"30","pwa_coverage150","10","discovery_model1","continuous_2015_2020","2015.01.01","2020.12.31","1","10000","true","4","1.25","6","0.50","0.75","1.50","pwa_coverage150_continuous_2015_2020_m1","7F7D3AA10B79CE5FFBD2DFDC9DE10CF7EAA10E98765194AB92027C7DC9EF8303","F7AAEFF24C4A0FF8066C906A25F99462E1F2488765AD046364B970277AAD5B46","Discovery only: no post-2020 data. Require both disjoint eras positive, continuous net and return/DD improvement versus exact disabled-feature control, PF at least 1.50, DD at most 2%, add-on activity, and adjacent parameter support before any holdout.","configs\030_pwa_coverage150_continuous_2015_2020_m1.ini","profiles\pwa_coverage150.set"
