"QueueRank","Candidate","Phase","Window","Model","Deposit","PackageConfig","ReportDestination","ExpectedReportName","ProfileSha256","SourceSha256","RunLabel","StopRule"
"11","wgf_confirm000","discovery_model1","repair_2019_2020","1","10000","outputs\independent_m15_weekend_gap_fade_discovery_model1_package\configs\011_wgf_confirm000_repair_2019_2020_m1.ini","outputs\independent_m15_weekend_gap_fade_discovery_model1_package\reports_here\wgf_confirm000_repair_2019_2020_m1","wgf_confirm000_repair_2019_2020_m1","3DE518C99ADD3144805AF48B740477B0E53C610AE43A01F7BF5D24D2763F5C7C","0B0DB2770C3CF7170C248A94B829932166F9ADA42ACB3956B7FC4450993C8121","independent_m15_weekend_gap_fade_discovery_model1","Pre-2021 only: both disjoint eras positive, continuous PF >=1.20, trades >=40, DD <=2.50%, positive payoff, return/DD >=1.00, and one adjacent passing profile."
"12","wgf_confirm000","discovery_model1","continuous_2015_2020","1","10000","outputs\independent_m15_weekend_gap_fade_discovery_model1_package\configs\012_wgf_confirm000_continuous_2015_2020_m1.ini","outputs\independent_m15_weekend_gap_fade_discovery_model1_package\reports_here\wgf_confirm000_continuous_2015_2020_m1","wgf_confirm000_continuous_2015_2020_m1","3DE518C99ADD3144805AF48B740477B0E53C610AE43A01F7BF5D24D2763F5C7C","0B0DB2770C3CF7170C248A94B829932166F9ADA42ACB3956B7FC4450993C8121","independent_m15_weekend_gap_fade_discovery_model1","Pre-2021 only: both disjoint eras positive, continuous PF >=1.20, trades >=40, DD <=2.50%, positive payoff, return/DD >=1.00, and one adjacent passing profile."
"13","wgf_confirm030","discovery_model1","older_2015_2018","1","10000","outputs\independent_m15_weekend_gap_fade_discovery_model1_package\configs\013_wgf_confirm030_older_2015_2018_m1.ini","outputs\independent_m15_weekend_gap_fade_discovery_model1_package\reports_here\wgf_confirm030_older_2015_2018_m1","wgf_confirm030_older_2015_2018_m1","036DDB9FC30AB53CB243A3C2CA44AD03FFE8138EC320439F945F70FE7861E459","0B0DB2770C3CF7170C248A94B829932166F9ADA42ACB3956B7FC4450993C8121","independent_m15_weekend_gap_fade_discovery_model1","Pre-2021 only: both disjoint eras positive, continuous PF >=1.20, trades >=40, DD <=2.50%, positive payoff, return/DD >=1.00, and one adjacent passing profile."
"14","wgf_confirm030","discovery_model1","repair_2019_2020","1","10000","outputs\independent_m15_weekend_gap_fade_discovery_model1_package\configs\014_wgf_confirm030_repair_2019_2020_m1.ini","outputs\independent_m15_weekend_gap_fade_discovery_model1_package\reports_here\wgf_confirm030_repair_2019_2020_m1","wgf_confirm030_repair_2019_2020_m1","036DDB9FC30AB53CB243A3C2CA44AD03FFE8138EC320439F945F70FE7861E459","0B0DB2770C3CF7170C248A94B829932166F9ADA42ACB3956B7FC4450993C8121","independent_m15_weekend_gap_fade_discovery_model1","Pre-2021 only: both disjoint eras positive, continuous PF >=1.20, trades >=40, DD <=2.50%, positive payoff, return/DD >=1.00, and one adjacent passing profile."
"15","wgf_confirm030","discovery_model1","continuous_2015_2020","1","10000","outputs\independent_m15_weekend_gap_fade_discovery_model1_package\configs\015_wgf_confirm030_continuous_2015_2020_m1.ini","outputs\independent_m15_weekend_gap_fade_discovery_model1_package\reports_here\wgf_confirm030_continuous_2015_2020_m1","wgf_confirm030_continuous_2015_2020_m1","036DDB9FC30AB53CB243A3C2CA44AD03FFE8138EC320439F945F70FE7861E459","0B0DB2770C3CF7170C248A94B829932166F9ADA42ACB3956B7FC4450993C8121","independent_m15_weekend_gap_fade_discovery_model1","Pre-2021 only: both disjoint eras positive, continuous PF >=1.20, trades >=40, DD <=2.50%, positive payoff, return/DD >=1.00, and one adjacent passing profile."
"16","wgf_maxgap035","discovery_model1","older_2015_2018","1","10000","outputs\independent_m15_weekend_gap_fade_discovery_model1_package\configs\016_wgf_maxgap035_older_2015_2018_m1.ini","outputs\independent_m15_weekend_gap_fade_discovery_model1_package\reports_here\wgf_maxgap035_older_2015_2018_m1","wgf_maxgap035_older_2015_2018_m1","9A71DF8578089596516E18E8B7440534B68599777D8F8BD767FC063BEFDAC4F4","0B0DB2770C3CF7170C248A94B829932166F9ADA42ACB3956B7FC4450993C8121","independent_m15_weekend_gap_fade_discovery_model1","Pre-2021 only: both disjoint eras positive, continuous PF >=1.20, trades >=40, DD <=2.50%, positive payoff, return/DD >=1.00, and one adjacent passing profile."
"17","wgf_maxgap035","discovery_model1","repair_2019_2020","1","10000","outputs\independent_m15_weekend_gap_fade_discovery_model1_package\configs\017_wgf_maxgap035_repair_2019_2020_m1.ini","outputs\independent_m15_weekend_gap_fade_discovery_model1_package\reports_here\wgf_maxgap035_repair_2019_2020_m1","wgf_maxgap035_repair_2019_2020_m1","9A71DF8578089596516E18E8B7440534B68599777D8F8BD767FC063BEFDAC4F4","0B0DB2770C3CF7170C248A94B829932166F9ADA42ACB3956B7FC4450993C8121","independent_m15_weekend_gap_fade_discovery_model1","Pre-2021 only: both disjoint eras positive, continuous PF >=1.20, trades >=40, DD <=2.50%, positive payoff, return/DD >=1.00, and one adjacent passing profile."
"18","wgf_maxgap035","discovery_model1","continuous_2015_2020","1","10000","outputs\independent_m15_weekend_gap_fade_discovery_model1_package\configs\018_wgf_maxgap035_continuous_2015_2020_m1.ini","outputs\independent_m15_weekend_gap_fade_discovery_model1_package\reports_here\wgf_maxgap035_continuous_2015_2020_m1","wgf_maxgap035_continuous_2015_2020_m1","9A71DF8578089596516E18E8B7440534B68599777D8F8BD767FC063BEFDAC4F4","0B0DB2770C3CF7170C248A94B829932166F9ADA42ACB3956B7FC4450993C8121","independent_m15_weekend_gap_fade_discovery_model1","Pre-2021 only: both disjoint eras positive, continuous PF >=1.20, trades >=40, DD <=2.50%, positive payoff, return/DD >=1.00, and one adjacent passing profile."
"19","wgf_maxgap065","discovery_model1","older_2015_2018","1","10000","outputs\independent_m15_weekend_gap_fade_discovery_model1_package\configs\019_wgf_maxgap065_older_2015_2018_m1.ini","outputs\independent_m15_weekend_gap_fade_discovery_model1_package\reports_here\wgf_maxgap065_older_2015_2018_m1","wgf_maxgap065_older_2015_2018_m1","5C45AF62CEDB436801CF78A888FDE9CDB2901745F524888A8AB0E4D64395019A","0B0DB2770C3CF7170C248A94B829932166F9ADA42ACB3956B7FC4450993C8121","independent_m15_weekend_gap_fade_discovery_model1","Pre-2021 only: both disjoint eras positive, continuous PF >=1.20, trades >=40, DD <=2.50%, positive payoff, return/DD >=1.00, and one adjacent passing profile."
"20","wgf_maxgap065","discovery_model1","repair_2019_2020","1","10000","outputs\independent_m15_weekend_gap_fade_discovery_model1_package\configs\020_wgf_maxgap065_repair_2019_2020_m1.ini","outputs\independent_m15_weekend_gap_fade_discovery_model1_package\reports_here\wgf_maxgap065_repair_2019_2020_m1","wgf_maxgap065_repair_2019_2020_m1","5C45AF62CEDB436801CF78A888FDE9CDB2901745F524888A8AB0E4D64395019A","0B0DB2770C3CF7170C248A94B829932166F9ADA42ACB3956B7FC4450993C8121","independent_m15_weekend_gap_fade_discovery_model1","Pre-2021 only: both disjoint eras positive, continuous PF >=1.20, trades >=40, DD <=2.50%, positive payoff, return/DD >=1.00, and one adjacent passing profile."
"21","wgf_maxgap065","discovery_model1","continuous_2015_2020","1","10000","outputs\independent_m15_weekend_gap_fade_discovery_model1_package\configs\021_wgf_maxgap065_continuous_2015_2020_m1.ini","outputs\independent_m15_weekend_gap_fade_discovery_model1_package\reports_here\wgf_maxgap065_continuous_2015_2020_m1","wgf_maxgap065_continuous_2015_2020_m1","5C45AF62CEDB436801CF78A888FDE9CDB2901745F524888A8AB0E4D64395019A","0B0DB2770C3CF7170C248A94B829932166F9ADA42ACB3956B7FC4450993C8121","independent_m15_weekend_gap_fade_discovery_model1","Pre-2021 only: both disjoint eras positive, continuous PF >=1.20, trades >=40, DD <=2.50%, positive payoff, return/DD >=1.00, and one adjacent passing profile."
